Date,AvgSpeed,Cool,Depart,DewPoint,Heat,PrecipTotal,ResultDir,ResultSpeed,SeaLevel,StnPressure,Sunrise,Sunset,Tavg,Tmax,Tmin,WetBulb,lowvis,n_codesum,rain,Year,Month,Week,DayOfWeek
2007-05-12,12.95,0.0,-1.5,36.5,9.5,0.0,2.0,12.55,30.195,29.515,435.0,1901.0,55.5,64.5,46.5,46.0,0.0,0.0,0.0,2007,5,19,5
2007-05-13,7.85,0.0,-1.5,32.5,8.5,0.0,12.5,6.5,30.24,29.52,434.0,1902.0,56.5,69.0,43.5,46.0,0.0,0.0,0.0,2007,5,19,6
2007-05-14,15.95,7.5,14.5,46.0,0.0,0.0,21.0,15.5,29.975,29.27,433.0,1903.0,72.5,90.0,55.0,58.5,0.0,0.0,0.0,2007,5,20,0
2007-05-15,11.55,4.0,11.0,56.0,0.0,0.49,26.0,8.1,29.835,29.16,432.0,1904.0,69.0,81.0,56.5,61.0,1.0,2.0,1.0,2007,5,20,1
2007-05-16,12.0,0.0,-4.0,42.5,10.0,0.10500000000000001,36.0,7.9,30.03,29.36,431.0,1905.0,55.0,65.0,44.5,47.5,1.0,2.0,1.0,2007,5,20,2
2007-05-17,11.75,0.0,-6.0,32.0,12.0,0.0,2.0,11.1,30.27,29.585,430.0,1906.0,53.0,61.5,43.5,43.0,0.0,0.0,0.0,2007,5,20,3
2007-05-18,6.5,0.0,-3.0,30.5,8.0,0.0,23.5,4.4,30.255000000000003,29.565,429.0,1907.0,57.0,70.5,42.5,46.5,0.0,0.0,0.0,2007,5,20,4
2007-05-19,11.4,3.0,8.0,38.0,0.0,0.0,23.5,11.1,30.08,29.375,428.0,1908.0,68.0,80.0,56.0,53.0,0.0,0.0,0.0,2007,5,20,5
2007-05-20,10.2,0.0,-4.5,40.5,8.5,0.09,3.5,9.5,30.11,29.41,427.0,1909.0,56.5,69.0,43.5,44.5,0.0,1.0,1.0,2007,5,20,6
2007-05-21,8.0,0.0,1.5,50.0,2.5,0.0,10.5,6.3,30.055,29.36,426.0,1910.0,62.5,79.5,45.0,56.5,0.0,0.0,0.0,2007,5,21,0
2007-05-22,10.399999999999999,7.5,11.5,45.0,0.0,0.0,17.0,10.05,30.055,29.375,425.0,1911.0,72.5,87.0,57.5,58.0,0.0,0.0,0.0,2007,5,21,1
2007-05-23,11.5,11.5,15.5,48.5,0.0,0.0,18.5,11.15,30.1,29.43,425.0,1912.0,76.5,89.0,63.0,61.0,0.0,0.0,0.0,2007,5,21,2
2007-05-24,16.25,11.5,14.5,53.5,0.0,0.015,20.5,14.350000000000001,30.105,29.439999999999998,424.0,1913.0,76.5,88.0,64.5,63.0,1.0,2.0,1.0,2007,5,21,3
2007-05-25,8.5,0.0,0.5,45.0,2.5,0.049999999999999996,5.0,4.7,30.235,29.54,423.0,1914.0,62.5,68.0,56.5,53.0,0.5,1.0,0.5,2007,5,21,4
2007-05-26,7.5,0.0,-3.5,55.0,6.5,0.645,16.0,2.65,30.105,29.39,422.0,1915.0,58.5,67.5,49.5,56.5,1.0,2.5,1.0,2007,5,21,5
2007-05-27,9.35,1.5,4.5,48.0,0.0,0.06,25.0,8.55,30.055,29.375,422.0,1916.0,66.5,75.0,58.0,56.5,1.0,2.0,1.0,2007,5,21,6
2007-05-28,5.25,0.0,2.0,48.0,0.0,0.005,9.0,4.75,30.145,29.46,421.0,1916.0,65.0,77.5,52.0,56.5,0.0,0.5,0.5,2007,5,22,0
2007-05-29,6.95,10.5,11.5,58.5,0.0,0.0,17.0,5.8,30.1,29.415,421.0,1917.0,75.5,88.0,62.5,65.5,1.0,2.0,0.0,2007,5,22,1
2007-05-30,10.35,13.5,14.5,57.5,0.0,0.0,18.0,10.0,30.035,29.345,420.0,1918.0,78.5,88.0,68.0,65.5,1.0,1.0,0.0,2007,5,22,2
2007-05-31,9.55,8.0,9.0,61.0,0.0,0.27,18.5,9.100000000000001,29.994999999999997,29.310000000000002,420.0,1919.0,73.0,79.0,66.5,65.5,1.0,2.0,1.0,2007,5,22,3
2007-06-01,6.1,10.5,11.5,63.0,0.0,0.2,16.5,4.45,29.905,29.22,419.0,1920.0,75.5,85.5,64.5,66.5,1.0,2.0,0.0,2007,6,22,4
2007-06-02,7.8,9.0,10.0,62.5,0.0,0.025,21.5,7.0,29.765,29.065,419.0,1920.0,74.0,81.0,66.5,67.0,1.0,2.0,1.0,2007,6,22,5
2007-06-03,6.95,5.5,6.5,60.0,0.0,0.165,24.5,5.050000000000001,29.549999999999997,28.845,418.0,1921.0,70.5,77.5,63.0,63.5,1.0,3.0,1.0,2007,6,22,6
2007-06-04,9.899999999999999,0.0,0.5,57.5,0.5,0.35,30.5,7.85,29.515,28.85,418.0,1922.0,64.5,71.5,57.0,60.0,1.0,2.0,1.0,2007,6,23,0
2007-06-05,7.85,0.0,-8.5,47.5,8.5,0.345,4.0,5.7,29.785,29.130000000000003,417.0,1923.0,56.5,63.5,49.0,51.5,1.0,2.0,1.0,2007,6,23,1
2007-06-06,11.0,0.0,-6.5,47.5,5.5,0.01,16.0,10.2,29.814999999999998,29.1,417.0,1923.0,59.5,72.0,46.0,55.0,0.0,1.0,1.0,2007,6,23,2
2007-06-07,21.9,16.5,15.5,61.5,0.0,0.0,19.5,21.5,29.55,28.875,417.0,1924.0,81.5,91.5,71.0,68.5,0.0,0.0,0.0,2007,6,23,3
2007-06-08,13.100000000000001,5.5,4.5,53.5,0.0,0.0,27.0,10.100000000000001,29.84,29.21,417.0,1925.0,70.5,81.0,60.0,61.5,0.0,0.0,0.0,2007,6,23,4
2007-06-09,4.85,2.0,1.0,48.0,0.0,0.0,26.0,1.3499999999999999,30.060000000000002,29.39,416.0,1925.0,67.0,79.0,54.5,57.5,0.0,0.0,0.0,2007,6,23,5
2007-06-10,5.699999999999999,4.5,2.5,50.5,0.0,0.0,16.5,4.699999999999999,30.045,29.365000000000002,416.0,1926.0,69.5,81.0,58.0,59.5,0.0,0.0,0.0,2007,6,23,6
2007-06-11,7.65,8.5,6.5,51.5,0.0,0.0,10.0,5.75,30.1,29.439999999999998,416.0,1926.0,73.5,85.5,61.5,61.0,0.0,0.0,0.0,2007,6,24,0
2007-06-12,9.4,8.5,5.5,50.5,0.0,0.0,5.0,8.850000000000001,30.15,29.465,416.0,1927.0,73.5,82.5,64.0,60.5,0.0,0.0,0.0,2007,6,24,1
2007-06-13,8.6,10.5,7.5,53.0,0.0,0.0,5.0,7.1,30.09,29.36,416.0,1927.0,75.5,86.5,64.0,62.0,0.0,0.0,0.0,2007,6,24,2
2007-06-14,6.6,13.0,10.0,54.5,0.0,0.0,6.0,5.75,30.009999999999998,29.33,416.0,1928.0,78.0,89.0,66.0,63.5,0.0,0.0,0.0,2007,6,24,3
2007-06-15,4.5,12.5,9.5,56.0,0.0,0.0,7.5,3.9499999999999997,29.979999999999997,29.310000000000002,416.0,1928.0,77.5,90.0,65.0,64.5,0.0,0.0,0.0,2007,6,24,4
2007-06-16,5.949999999999999,15.0,11.0,60.5,0.0,0.01,25.0,3.45,29.965,29.295,416.0,1929.0,80.0,92.5,67.0,67.5,1.0,1.5,0.5,2007,6,24,5
2007-06-17,6.199999999999999,16.0,12.0,64.5,0.0,0.08,11.0,3.4,29.939999999999998,29.255000000000003,416.0,1929.0,81.0,91.0,70.5,70.0,1.0,1.0,0.0,2007,6,24,6
2007-06-18,13.85,15.0,10.0,65.0,0.0,0.15000000000000002,20.0,13.1,29.835,29.155,416.0,1929.0,80.0,89.0,71.0,70.0,1.0,2.0,1.0,2007,6,25,0
2007-06-19,11.350000000000001,8.0,3.0,55.0,0.0,0.755,28.5,10.399999999999999,29.939999999999998,29.285,416.0,1930.0,73.0,80.5,65.0,63.0,0.5,1.5,1.0,2007,6,25,1
2007-06-20,8.25,8.5,3.5,51.0,0.0,0.0,27.5,6.85,30.095,29.425,416.0,1930.0,73.5,84.5,61.5,61.0,0.0,0.0,0.0,2007,6,25,2
2007-06-21,10.149999999999999,6.0,1.0,51.0,0.0,0.01,2.5,3.6,30.07,29.384999999999998,416.0,1930.0,71.0,78.5,63.5,60.5,0.0,1.0,1.0,2007,6,25,3
2007-06-22,8.399999999999999,4.0,-1.0,49.5,0.0,0.01,6.5,7.15,30.055,29.36,417.0,1931.0,69.0,75.5,61.5,58.0,0.0,1.0,1.0,2007,6,25,4
2007-06-23,8.55,0.0,-5.0,59.0,0.0,0.195,11.5,7.449999999999999,29.955,29.255000000000003,417.0,1931.0,65.0,67.5,61.5,61.5,1.0,2.0,1.0,2007,6,25,5
2007-06-24,7.0,5.0,-1.0,62.0,0.0,0.0,9.5,6.3,29.965,29.295,417.0,1931.0,70.0,76.0,64.0,65.0,1.0,2.0,0.0,2007,6,25,6
2007-06-25,6.35,12.0,6.0,66.5,0.0,0.0,13.0,3.95,30.064999999999998,29.41,417.0,1931.0,77.0,87.5,66.0,70.0,1.0,2.0,0.0,2007,6,26,0
2007-06-26,7.6,16.5,10.5,69.0,0.0,0.085,21.5,6.699999999999999,30.1,29.42,418.0,1931.0,81.5,91.5,71.5,72.0,1.0,2.0,0.0,2007,6,26,1
2007-06-27,8.65,15.5,9.5,69.5,0.0,0.25,24.0,7.7,30.009999999999998,29.325,418.0,1931.0,80.5,90.0,71.0,72.0,0.5,1.0,0.5,2007,6,26,2
2007-06-28,12.9,1.5,-4.5,55.5,0.0,0.0,2.5,12.05,30.08,29.42,419.0,1931.0,66.5,73.5,59.5,60.5,0.0,0.0,0.0,2007,6,26,3
2007-06-29,8.25,0.0,-7.5,55.5,1.5,0.0,2.0,7.5,30.119999999999997,29.439999999999998,419.0,1931.0,63.5,70.5,56.0,59.5,0.0,0.0,0.0,2007,6,26,4
2007-06-30,6.0,2.5,-4.5,47.5,0.0,0.0,3.5,5.0,30.119999999999997,29.435000000000002,419.0,1931.0,67.5,78.0,56.0,57.0,0.0,0.0,0.0,2007,6,26,5
2007-07-01,9.149999999999999,2.0,-5.0,51.5,0.0,0.0,4.0,9.05,30.22,29.535,420.0,1931.0,67.0,75.5,57.5,58.5,0.0,0.0,0.0,2007,7,26,6
2007-07-02,8.3,2.0,-5.0,50.0,0.0,0.0,13.0,6.65,30.215,29.52,420.0,1931.0,67.0,78.0,55.5,58.5,0.0,0.0,0.0,2007,7,27,0
2007-07-03,7.35,7.5,0.5,56.5,0.0,0.245,21.0,6.550000000000001,30.055,29.345,421.0,1931.0,72.5,83.0,61.5,63.0,0.5,1.5,1.0,2007,7,27,1
2007-07-04,8.5,11.5,4.5,65.0,0.0,0.41000000000000003,26.0,3.8499999999999996,29.89,29.205,422.0,1930.0,76.5,85.0,67.0,69.0,1.0,3.0,0.5,2007,7,27,2
2007-07-05,7.5,14.5,7.5,60.0,0.0,0.0,32.0,5.35,29.93,29.265,422.0,1930.0,79.5,88.5,70.5,67.0,1.0,2.0,0.0,2007,7,27,3
2007-07-06,5.5,11.0,4.0,57.0,0.0,0.0,6.0,3.25,30.020000000000003,29.35,423.0,1930.0,76.0,85.0,67.0,64.5,0.0,0.0,0.0,2007,7,27,4
2007-07-07,8.35,12.5,5.5,62.5,0.0,0.0,22.5,7.9,29.905,29.21,423.0,1930.0,77.5,89.0,66.0,68.5,0.0,0.0,0.0,2007,7,27,5
2007-07-08,12.899999999999999,19.5,11.5,67.0,0.0,0.0,23.5,12.75,29.765,29.085,424.0,1929.0,84.5,93.5,75.0,72.0,0.0,0.0,0.0,2007,7,27,6
2007-07-09,8.8,17.5,9.5,66.5,0.0,0.27,23.5,4.85,29.795,29.134999999999998,425.0,1929.0,82.5,93.5,71.0,70.5,0.0,1.0,1.0,2007,7,28,0
2007-07-10,10.35,14.5,6.5,67.0,0.0,0.255,23.0,8.399999999999999,29.765,29.095,425.0,1929.0,79.5,89.0,69.5,70.5,1.0,1.0,0.0,2007,7,28,1
2007-07-11,11.05,5.0,-3.0,51.0,0.0,0.0,30.0,8.95,29.925,29.255000000000003,426.0,1928.0,70.0,77.0,62.5,59.0,0.0,0.0,0.0,2007,7,28,2
2007-07-12,11.25,5.5,-2.5,51.0,0.0,0.0,28.5,9.7,29.925,29.25,427.0,1928.0,70.5,80.0,60.5,59.5,0.0,0.0,0.0,2007,7,28,3
2007-07-13,5.55,2.5,-5.5,52.5,0.0,0.0,4.0,1.7,29.98,29.295,428.0,1927.0,67.5,76.0,58.5,58.5,0.0,0.0,0.0,2007,7,28,4
2007-07-14,13.55,8.5,0.5,55.0,0.0,0.0,25.5,8.350000000000001,29.79,29.11,428.0,1927.0,73.5,84.5,61.5,62.0,0.0,0.0,0.0,2007,7,28,5
2007-07-15,5.7,6.5,-2.5,52.5,0.0,0.0,19.0,1.65,29.884999999999998,29.22,429.0,1926.0,71.5,81.0,62.0,61.0,0.0,0.0,0.0,2007,7,28,6
2007-07-16,5.9,9.0,0.0,60.0,0.0,0.23,23.5,5.0,29.950000000000003,29.28,430.0,1925.0,74.0,82.0,65.5,65.0,0.5,1.5,1.0,2007,7,29,0
2007-07-17,6.95,11.0,2.0,65.5,0.0,0.11,23.0,5.75,29.895,29.21,431.0,1925.0,76.0,83.0,68.5,69.0,1.0,2.0,1.0,2007,7,29,1
2007-07-18,10.35,12.0,3.0,68.5,0.0,1.235,24.0,9.7,29.835,29.145,432.0,1924.0,77.0,85.0,69.0,71.0,1.0,3.0,1.0,2007,7,29,2
2007-07-19,13.15,8.0,-1.0,62.5,0.0,0.085,18.5,7.35,29.89,29.235,433.0,1923.0,73.0,82.5,63.0,66.0,1.0,2.0,0.5,2007,7,29,3
2007-07-20,10.3,2.5,-6.5,52.5,0.0,0.0,3.5,9.95,30.130000000000003,29.465,433.0,1923.0,67.5,74.5,60.0,59.0,0.0,0.0,0.0,2007,7,29,4
2007-07-21,7.4,1.5,-7.5,52.0,0.0,0.0,3.5,6.15,30.215,29.54,434.0,1922.0,66.5,74.5,58.0,58.5,0.0,0.0,0.0,2007,7,29,5
2007-07-22,3.4,5.5,-3.5,54.5,0.0,0.0,17.0,1.7999999999999998,30.205,29.515,435.0,1921.0,70.5,81.0,59.5,61.0,0.0,0.0,0.0,2007,7,29,6
2007-07-23,3.95,7.5,-1.5,55.0,0.0,0.0,10.5,3.05,30.095,29.395000000000003,436.0,1920.0,72.5,82.5,61.5,63.0,0.0,0.0,0.0,2007,7,30,0
2007-07-24,5.050000000000001,9.0,0.0,57.5,0.0,0.005,20.5,2.1,30.035,29.35,437.0,1919.0,74.0,82.0,65.0,64.0,0.0,0.0,0.0,2007,7,30,1
2007-07-25,6.8,12.5,3.5,60.5,0.0,0.005,24.0,6.1,29.994999999999997,29.32,438.0,1918.0,77.5,84.0,70.5,66.5,0.0,0.0,0.0,2007,7,30,2
2007-07-26,9.65,9.5,0.5,65.0,0.0,0.54,22.0,7.2,29.915,29.22,439.0,1918.0,74.5,83.5,65.0,68.0,1.0,3.5,1.0,2007,7,30,3
2007-07-27,8.0,12.0,3.0,67.5,0.0,0.10500000000000001,19.5,2.1,29.810000000000002,29.134999999999998,440.0,1917.0,77.0,83.0,70.0,70.0,1.0,3.0,1.0,2007,7,30,4
2007-07-28,10.45,9.0,0.0,65.0,0.0,0.0,3.0,10.3,29.92,29.255000000000003,441.0,1916.0,74.0,80.0,68.0,68.0,1.0,2.0,0.0,2007,7,30,5
2007-07-29,6.300000000000001,10.0,1.0,56.5,0.0,0.0,5.0,5.55,29.979999999999997,29.310000000000002,442.0,1915.0,75.0,85.0,65.0,64.0,0.0,0.0,0.0,2007,7,30,6
2007-07-30,4.449999999999999,11.0,2.0,56.0,0.0,0.0,6.0,3.45,30.020000000000003,29.36,443.0,1914.0,76.0,87.5,63.5,64.5,0.0,0.0,0.0,2007,7,31,0
2007-07-31,4.95,14.5,5.5,60.5,0.0,0.0,5.5,3.65,30.03,29.36,444.0,1913.0,79.5,90.0,68.5,68.0,0.0,0.0,0.0,2007,7,31,1
2007-08-01,3.9,15.5,7.5,62.5,0.0,0.0,11.0,2.8,29.990000000000002,29.314999999999998,445.0,1911.0,80.5,91.5,69.0,69.5,0.5,0.5,0.0,2007,8,31,2
2007-08-02,6.550000000000001,16.5,8.5,66.0,0.0,0.0,24.5,6.0,29.96,29.285,446.0,1910.0,81.5,91.0,71.5,71.5,0.5,0.5,0.0,2007,8,31,3
2007-08-03,5.75,15.5,7.5,57.0,0.0,0.0,4.5,3.0,30.009999999999998,29.335,447.0,1909.0,80.5,89.0,71.0,66.5,0.0,0.0,0.0,2007,8,31,4
2007-08-04,6.35,9.0,1.0,58.0,0.0,0.025,8.5,5.800000000000001,30.020000000000003,29.335,448.0,1908.0,74.0,81.0,66.0,64.5,0.0,1.0,1.0,2007,8,31,5
2007-08-05,9.899999999999999,13.0,5.0,71.0,0.0,1.2,21.5,6.2,29.799999999999997,29.115,449.0,1907.0,78.0,88.0,67.5,72.5,1.0,2.5,1.0,2007,8,31,6
2007-08-06,4.75,15.5,7.5,72.0,0.0,0.155,10.0,2.1,29.82,29.15,450.0,1906.0,80.5,86.5,74.5,74.0,1.0,3.0,1.0,2007,8,32,0
2007-08-07,8.9,17.5,9.5,73.0,0.0,0.685,24.5,6.25,29.75,29.085,451.0,1904.0,82.5,91.5,72.5,76.0,0.5,1.0,0.5,2007,8,32,1
2007-08-08,6.65,15.5,7.5,71.5,0.0,0.075,3.5,2.25,29.82,29.155,452.0,1903.0,80.5,87.0,73.5,73.5,1.0,3.0,1.0,2007,8,32,2
2007-08-09,6.15,13.5,5.5,71.0,0.0,0.255,28.0,2.8,29.83,29.16,453.0,1902.0,78.5,84.5,72.5,73.0,0.5,1.5,0.5,2007,8,32,3
2007-08-10,5.65,14.0,6.0,68.5,0.0,0.0,4.0,3.75,29.950000000000003,29.29,454.0,1900.0,79.0,86.0,71.5,72.0,0.5,0.5,0.0,2007,8,32,4
2007-08-11,3.9,13.0,5.0,65.0,0.0,0.0,19.5,3.1500000000000004,30.009999999999998,29.345,455.0,1859.0,78.0,88.5,67.5,70.0,1.0,2.0,0.0,2007,8,32,5
2007-08-12,6.0,13.0,5.0,67.0,0.0,0.26,6.0,1.7999999999999998,30.049999999999997,29.369999999999997,456.0,1858.0,78.0,87.5,67.5,70.5,0.0,0.0,0.0,2007,8,32,6
2007-08-13,7.300000000000001,9.0,1.0,55.5,0.0,0.0,7.0,6.550000000000001,30.095,29.415,457.0,1856.0,74.0,80.5,67.0,63.5,0.5,0.5,0.0,2007,8,33,0
2007-08-14,8.5,10.0,3.0,66.5,0.0,0.43,24.0,6.15,29.925,29.259999999999998,458.0,1855.0,75.0,84.0,65.0,69.5,1.0,2.5,1.0,2007,8,33,1
2007-08-15,6.449999999999999,11.5,4.5,68.0,0.0,0.53,6.5,4.15,29.880000000000003,29.200000000000003,459.0,1854.0,76.5,80.5,71.5,70.5,1.0,2.5,1.0,2007,8,33,2
2007-08-16,5.7,6.5,-0.5,64.5,0.0,0.0,1.0,3.55,29.96,29.305,500.0,1852.0,71.5,77.0,66.0,67.5,1.0,1.0,0.0,2007,8,33,3
2007-08-17,7.1,6.5,-0.5,54.0,0.0,0.0,31.5,6.0,30.09,29.435000000000002,501.0,1851.0,71.5,79.5,62.5,61.5,0.0,0.0,0.0,2007,8,33,4
2007-08-18,7.55,0.0,-7.5,54.0,0.5,0.255,12.5,6.25,30.155,29.46,502.0,1849.0,64.5,68.5,59.5,58.0,0.0,1.0,1.0,2007,8,33,5
2007-08-19,7.45,0.5,-5.5,62.5,0.0,1.33,10.0,5.75,29.985,29.27,503.0,1848.0,65.5,68.5,62.0,64.0,1.0,3.0,1.0,2007,8,33,6
2007-08-20,5.800000000000001,7.5,1.5,68.5,0.0,0.6950000000000001,16.0,1.45,29.86,29.18,504.0,1846.0,72.5,77.0,68.0,69.5,1.0,3.0,1.0,2007,8,34,0
2007-08-21,6.0,12.5,6.5,70.0,0.0,0.01,17.5,3.65,29.9,29.235,505.0,1845.0,77.5,86.0,69.0,72.0,1.0,1.5,0.0,2007,8,34,1
2007-08-22,8.95,15.0,9.0,70.5,0.0,0.625,21.0,5.199999999999999,29.935000000000002,29.259999999999998,506.0,1843.0,80.0,90.0,69.5,73.0,0.5,2.0,1.0,2007,8,34,2
2007-08-23,10.399999999999999,14.0,8.0,69.0,0.0,2.1550000000000002,21.0,8.15,29.865000000000002,29.18,508.0,1842.0,79.0,88.0,69.5,71.0,1.0,2.5,1.0,2007,8,34,3
2007-08-24,7.199999999999999,10.0,4.0,67.0,0.0,0.22,25.0,5.65,29.814999999999998,29.134999999999998,509.0,1840.0,75.0,80.5,69.0,69.0,0.5,2.0,1.0,2007,8,34,4
2007-08-25,6.0,6.5,1.5,63.0,0.0,0.29500000000000004,19.5,2.7,29.92,29.259999999999998,510.0,1839.0,71.5,77.5,64.5,66.0,0.5,1.5,1.0,2007,8,34,5
2007-08-26,5.0,5.0,0.0,55.0,0.0,0.0,11.0,3.6500000000000004,30.075,29.41,511.0,1837.0,70.0,78.5,60.5,61.5,0.0,0.0,0.0,2007,8,34,6
2007-08-27,7.35,5.5,0.5,59.5,0.0,0.0,16.5,6.45,30.064999999999998,29.384999999999998,512.0,1835.0,70.5,79.0,61.5,64.0,0.0,0.0,0.0,2007,8,35,0
2007-08-28,8.9,14.5,9.5,65.5,0.0,0.0,20.5,8.4,29.985,29.310000000000002,513.0,1834.0,79.5,90.5,68.0,70.0,0.0,0.0,0.0,2007,8,35,1
2007-08-29,8.5,12.5,7.5,64.5,0.0,0.01,3.0,5.449999999999999,30.03,29.365000000000002,514.0,1832.0,77.5,85.5,68.5,69.0,0.0,0.0,0.0,2007,8,35,2
2007-08-30,10.4,2.0,-3.0,54.0,0.0,0.0,2.5,9.95,30.165,29.490000000000002,515.0,1831.0,67.0,75.0,58.5,60.5,0.0,0.0,0.0,2007,8,35,3
2007-08-31,4.9,2.0,-2.0,53.0,0.0,0.0,5.0,3.45,30.18,29.494999999999997,516.0,1829.0,67.0,76.5,57.0,59.5,0.0,0.0,0.0,2007,8,35,4
2007-09-01,4.7,4.5,1.5,55.5,0.0,0.0,11.0,4.300000000000001,30.21,29.515,517.0,1827.0,69.5,80.0,58.5,61.5,0.0,0.0,0.0,2007,9,35,5
2007-09-02,5.5,8.0,5.0,56.5,0.0,0.0,21.0,4.5,30.14,29.439999999999998,518.0,1826.0,73.0,84.5,61.5,63.0,0.0,0.0,0.0,2007,9,35,6
2007-09-03,6.0,11.5,8.5,61.0,0.0,0.0,26.0,2.5,30.08,29.39,519.0,1824.0,76.5,88.0,65.0,67.0,0.0,0.0,0.0,2007,9,36,0
2007-09-04,4.65,12.5,9.5,59.5,0.0,0.0,23.0,2.5,29.994999999999997,29.310000000000002,520.0,1822.0,77.5,89.5,65.0,66.5,0.0,0.0,0.0,2007,9,36,1
2007-09-05,6.6,15.0,13.0,62.5,0.0,0.005,19.0,6.4,29.950000000000003,29.275,521.0,1821.0,80.0,90.5,69.0,69.0,0.0,0.5,0.5,2007,9,36,2
2007-09-06,12.55,13.5,11.5,66.5,0.0,0.13,20.0,12.350000000000001,29.915,29.240000000000002,522.0,1819.0,78.5,83.0,73.5,70.0,1.0,1.5,0.5,2007,9,36,3
2007-09-07,13.45,12.5,10.5,67.5,0.0,0.43000000000000005,23.0,9.95,29.845,29.18,523.0,1817.0,77.5,84.0,70.5,70.0,1.0,3.0,1.0,2007,9,36,4
2007-09-08,8.3,7.0,6.0,57.5,0.0,0.0,5.0,7.2,29.990000000000002,29.32,524.0,1815.0,72.0,78.0,66.0,63.5,0.0,0.0,0.0,2007,9,36,5
2007-09-09,10.4,6.5,5.5,59.0,0.0,0.0,3.0,9.649999999999999,30.045,29.384999999999998,525.0,1814.0,71.5,79.5,63.0,63.5,0.0,0.0,0.0,2007,9,36,6
2007-09-10,9.35,0.0,-2.0,58.5,1.0,0.305,2.5,7.300000000000001,30.025,29.32,526.0,1812.0,64.0,73.5,54.5,61.0,0.5,1.5,1.0,2007,9,37,0
2007-09-11,13.6,0.0,-4.0,44.0,4.0,0.01,29.0,11.899999999999999,29.915,29.23,527.0,1810.0,61.0,71.0,50.5,52.0,0.0,0.0,0.0,2007,9,37,1
2007-09-12,5.8,0.0,-8.5,42.5,8.5,0.0,4.0,1.85,30.115000000000002,29.43,528.0,1809.0,56.5,66.5,46.0,49.5,0.0,0.0,0.0,2007,9,37,2
2007-09-13,8.1,0.5,0.0,44.0,0.5,0.0,19.5,7.7,29.985,29.265,529.0,1807.0,65.0,78.5,51.5,54.0,0.0,0.0,0.0,2007,9,37,3
2007-09-14,13.2,0.0,-7.5,39.5,8.5,0.0,32.0,11.899999999999999,30.045,29.384999999999998,530.0,1805.0,56.5,66.5,46.0,48.5,0.0,0.0,0.0,2007,9,37,4
2007-09-15,6.25,0.0,-13.0,34.0,14.0,0.0,34.0,1.25,30.28,29.59,531.0,1803.0,51.0,61.5,40.5,44.0,0.0,0.0,0.0,2007,9,37,5
2007-09-16,7.8,0.0,-4.5,39.0,5.5,0.0,18.0,7.25,30.195,29.490000000000002,532.0,1760.0,59.5,71.5,46.5,49.5,0.0,0.0,0.0,2007,9,37,6
2007-09-17,11.55,2.0,3.0,48.5,0.0,0.0,17.0,11.149999999999999,30.12,29.425,533.0,1758.0,67.0,80.0,53.5,57.0,0.0,0.0,0.0,2007,9,38,0
2007-09-18,12.95,12.0,13.0,57.5,0.0,0.0,19.0,12.7,30.055,29.375,535.0,1756.0,77.0,88.5,64.5,65.0,0.0,0.0,0.0,2007,9,38,1
